daniel;21;27;14
Jared;1;0;3
sfg;11;9;7
csexton;82;21;37
ash108;4;2;3
Maciej Hehl;129;253;15
pousi;5;0;7
faulty;86;66;24
Matthias Wandel;78;47;24
AdamB;32;16;11
user20182;1;0;1
bprasetio;1;0;1
Yuval Peled;33;24;32
user20282;4;0;2
Unlabeled Meat;6;0;3
Navaneeth;7;9;12
Abu;4;0;8
TcKs;320;265;32
Ricibald;51;40;22
Iain;7;1;13
Robin;28;13;14
mario64;3;0;7
joshjdevl;37;26;30
Arcster;3;0;2
Eric Tobia;6;1;10
Sam Hendley;6;2;5
lsdr;8;7;13
Jason Kealey;63;83;30
Jan;12;8;13
Luc Touraille;122;196;43
Gary;4;0;4
jskunkle;10;11;13
DHornpout;8;16;10
jpwatts;11;3;9
devio;572;165;26
lms;8;1;2
stucampbell;19;14;18
Andrew Crowe;1;0;5
Clue Less;2;1;14
Kyle Trauberman;116;133;30
Howard;4;0;5
gauth;3;4;12
Stanislav;4;1;9
hfcs101;14;0;4
Dan;52;47;36
Petar Repac;78;96;12
Victor Rodrigues;119;152;55
Eugenek;3;0;5
James;422;712;49
ismaSan;6;1;5
sethbc;6;0;6
winjoy;1;0;9
lazy coder;3;0;2
danpickett;20;6;13
BFreeman;8;2;14
David Stockton;2;0;2
schaelle;1;0;1
wasker;44;34;22
sef;21;14;17
Carlos Nunes-Ueno;6;0;6
Rajeshwaran S P;16;8;10
Andy Shea;6;3;6
cgicgi;1;0;5
muesan;3;2;5
Terence;6;8;8
Simon;71;49;17
ferbs;3;1;4
user57400;2;0;5
Tanner;99;45;12
CraigTP;233;130;41
Wardy;3;2;6
user57568;1;0;5
ErikE;163;557;22
Mikael Brockman;1;0;1
Rutesh Makhijani;49;6;10
Peter Lawrey;1154;1248;28
Eddie;411;634;69
user57784;2;0;2
Billbo bug;3;1;8
Praesagus;79;118;18
Levon;7;13;9
Aaron Moodie;37;73;11
Fatal510;11;9;13
Ben;2;2;4
user58338;1;0;1
Tina Orooji;21;15;16
alsuren;6;2;2
Bruce Payette;2;0;1
Mark McGregor;2;0;1
ashish;9;0;12
WCFGuy;1;0;2
Cumatru;4;0;5
Edward Wong Hau Pepelu Tivrusk;4;1;5
roesslerj;9;12;7
Marty Pitt;135;95;39
Erin Karschnik;19;0;5
Jeff Siver;96;77;9
Jaime;5;0;4
Dave Bauman;34;11;14
sarat;13;3;5
Christopher Swasey;6;2;6
Mike Mattice;0;0;0
AwesomeTown;44;34;18
Chris Seed;1;0;0
jelman;1;0;1
twism;2;0;2
Keith;7;2;6
Arkonis;1;0;4
musicking123;46;96;13
Pietro Di Bello;2;3;2
Graham;9;9;8
Chris Gunner;18;0;7
sugarcrum;11;6;8
user59876;1;0;2
rajat banerjee;7;5;3
biggusjimmus;13;28;12
Boris Yankov;5;4;4
ajma;89;25;22
ayrnieu;16;9;12
Merritt;29;72;11
Dean;4;0;2
jbarham;0;0;0
f3lix;112;42;34
Frank;258;375;96
Mystic;30;31;17
chanwit;22;6;7
jdisk;13;3;6
emas;11;7;3
Vasi;3;0;2
MJ.;7;0;7
tilljoel;4;1;3
Mads Kristiansen;13;1;10
Wally Lawless;50;63;24
Liron Yahdav;43;25;25
Pete;16;6;17
Paul Wicks;164;35;93
Chris Marasti-Georg;193;228;78
Peter Coulton;40;20;48
Jesse Ezell;1;0;4
Polsonby;89;42;63
jaredg;6;0;6
Paul G;47;21;24
dagorym;40;23;17
Binarytales;18;3;23
fastcall;16;4;15
dwj;39;42;20
Blorgbeard;327;411;107
PabloG;98;27;26
Patrick McElhaney;176;183;101
littlecharva;2;0;5
Jeremy Privett;18;7;26
Lance Fisher;191;108;78
Vebjorn Ljosa;75;29;20
user17541;2;2;9
mortenbpost;27;6;16
Donald;9;0;9
fiddlesticks;22;16;14
Fntastic;2;0;2
Zombies;200;278;45
Jeremy Dunck;20;8;20
Neus;0;0;5
cmjohns;44;23;9
vIceBerg;52;51;36
Myto;2;1;2
Eevee;65;28;22
willCode4Beer;6;2;7
jgindin;18;4;11
CBono;41;43;9
Dan Hewett;23;0;15
wahrhaft;4;0;7
TheGeoff;18;6;11
stevenharman;2;10;8
stung;15;14;18
Mike Hall;39;29;17
origin;2;0;6
user18318;1;0;3
Evgeny;4;1;4
Jason Hanford-Smith;1;0;1
user18359;4;6;11
skymt;15;7;12
cletus;3060;2090;614
Matthew Savage;50;49;33
Kip;284;585;163
user18579;2;0;1
Derek Slager;80;22;12
mitchnull;24;9;6
Ian Ozsvald;6;0;4
Otherside;35;35;12
Casper;22;8;12
Gramic;4;0;7
chroder;29;9;26
Jason Miesionczek;181;145;56
Siddharth Gaur;2;0;5
Agoston Horvath;4;0;9
schudel;8;12;9
user18931;10;2;25
Joe Lencioni;34;22;46
segy;16;4;7
Steve;2;0;10
Technobabble;9;9;12
